tripid,haulno,gear,faddescription,shotdate,shottime,shotdepth,shotlatdeg,shotlatmins,shotlondeg,shotlonmins,hauldate,haulquarter,haultime,hauldepth,haullatdeg,haullatmins,haullondeg,haullonmins,icesdivision,haulicesrectangle,haulwindspeed,haulwindbeaufort,haulwinddirectiion,haulwindcompass,towduration,towcorrection,BAIT_TYPE,CETACEAN_MITIGATION_DEVICES,CHAIN_MAT,COD_END_MESH_MM,COD_END_TWINE_CONSTRUCTION,COD_END_TWINE_DIA_MM,COMBINED_BEAM_LENGTH_M,COMBINED_FISHING_LINE_LENGTHM,CONDITION_OF_NET,DOOR_SPREAD_ESTM,ENTRANCE_SIZE_MM,ESTIMATED_DOOR_SPREAD_M,FOOTROPE_LENGTH_M,GILLNET_TWINE_CONSTRUCTION,GILLNET_TWINE_DIAMETER_MM,HANGING_RATIO,HANGING_RATIO_3,HEADROPE_LENGTH_M,HOOK_SIZE,INDIVIDUAL_BEAM_LENGTH_M,INNER_MESH_SIZE_MM,INNER_TWINE_DIAMETER,LENGTH_OF_FISHING_LINE_M,LENGTH_OF_STRING_M,LENGTH_OF_TIER_OR_FLEET_M,MESH_SIZE_IN_DIAMOND_PANEL_MM,MESH_SIZE_IN_SQUARE_MESH_PANEL_MM,MESH_SIZE_MM,MESHES_DEEP_INNER_ONLY_NET,MESHES_DEEP_OUTER_NET,NUMBER_OF_HOOKS_IN_STRING,NUMBER_OF_LINES,NUMBER_OF_NETS_IN_TIER,NUMBER_OF_POTS_IN_STRING,NUMBER_OF_TEETH_ON_A_SINGLE_DREDGE,NUMBER_OF_TICKLER_CHAINS,OUTER_MESH_SIZE_MM,OUTER_TWINE_DIAMETER,RING_DIAMETER_MM,SELECTIVITY,SELECTIVITY_DEVICE,SPREAD_BETWEEN_VESSELS_ESTM,SQUARE_MESH_SIZE_MM,TOTAL_NUMBER_OF_DREDGES_USED,VEIL_MESH_SIZE_MM,WIDTH_OD_INDIVIDUAL_DREDGE_M,WIDTH_OF_INDIVIDUAL_DREDGE_M,CHECK
AE119NT,1,14,Twin Nephrops otter trawl,23/01/2019,07:32:00,73,55,16,-1,-13,23/01/2019,1,10:40:00,75,55,24,-1,-13,IVB,39E8,NULL,02-Mar,NULL,NW ,188,NULL,NULL,NULL,NULL,97,Single Braided,5,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,140,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE119NT,2,14,Twin Nephrops otter trawl,23/01/2019,11:14:00,75,55,24,-1,-13,23/01/2019,1,14:09:00,69,55,18,-1,-14,IVB,39E8,NULL,2,NULL,NW ,175,NULL,NULL,NULL,NULL,97,Single Braided,5,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,140,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE121NT,1,13,Nephrops otter trawl,25/02/2021,06:00:00,37,55,22,-1,-29,25/02/2021,1,11:00:00,37,55,18,-1,-28,IVB,39E8,NULL,NULL,NULL,NULL,300,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE121NT,2,13,Nephrops otter trawl,25/02/2021,11:30:00,37,55,18,-1,-28,25/02/2021,1,17:00:00,37,55,22,-1,-29,IVB,39E8,NULL,NULL,NULL,NULL,330,NULL,NULL,NULL,NULL,90,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE123NT,1,13,Nephrops otter trawl,07/02/2023,05:27:00,48.5,55,13,-1,-24,07/02/2023,1,09:25:00,47,55,17,-1,-26,IVB,39E8,NULL,2,NULL,SW ,238,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,140,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh and Headline Diamond Panels,NULL,NULL,NULL,NULL,NULL,NULL,1
AE219NT,1,14,Twin Nephrops otter trawl,05/02/2019,07:02:00,94,55,23,-1,-6,05/02/2019,1,12:35:00,97,55,33,0,-59,IVB,40E9,NULL,03-Apr,NULL,SW ,333,NULL,NULL,NULL,NULL,100,Single Braided,5,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE219NT,2,14,Twin Nephrops otter trawl,05/02/2019,13:10:00,97,55,33,0,-59,05/02/2019,1,17:30:00,97,55,34,-1,-2,IVB,40E8,NULL,04-May,NULL,WSW,260,NULL,NULL,NULL,NULL,100,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE219NT,3,14,Twin Nephrops otter trawl,06/02/2019,07:00:00,95,55,27,0,-51,06/02/2019,1,11:00:00,102,55,35,-1,-4,IVB,40E8,NULL,03-Apr,NULL,W  ,240,NULL,NULL,NULL,NULL,100,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE219NT,4,14,Twin Nephrops otter trawl,06/02/2019,11:35:00,102,55,35,-1,-4,06/02/2019,1,17:45:00,104,55,13,-1,-24,IVB,39E8,NULL,03-Apr,NULL,S  ,370,NULL,NULL,NULL,NULL,100,Single Braided,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
AE221NT,1,14,Twin Nephrops otter trawl,16/02/2021,06:47:00,92,55,25,-1,-10,16/02/2021,1,10:49:00,93,55,16,-1,-7,IVB,39E8,NULL,NULL,NULL,NULL,242,NULL,NULL,NULL,NULL,95,Single Braided,5,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Square Mesh Panel,NULL,NULL,NULL,NULL,NULL,NULL,1
