TripIdentifier,HaulNo,SFSGear,faddescription,shotdate,shottime,shotdepth,shotlatdeg,shotlatmins,shotlondeg,shotlonmins,hauldate,haulquarter,haultime,hauldepth,haullatdeg,haullatmins,haullondeg,haullonmins,icesdivision,haulicesrectangle,TowDurationMin,TowCorrectionMin,BaitTypeId,CetaceanMitigationDeviceId,ChainMat,CodEndMeshMm,CodEndTwineConstructionId,CodEndTwineDiameterMm,CombinedBeamLengthM,CombinedFishingLineLengthM,NetConditionId,DoorSpreadM,EntranceSizeMm,WingSpreadM,FootRopeLengthM,GillnetTwineConstructionId,GillnetTwineDiameterMm,HangingRatio,HeadRopeLengthM,HookSizeId,IndividualBeamLengthM,InnerMeshSizeMm,InnerTwineDiameterMm,LengthOfFishingLineM,LengthOfStringM,LengthOfTierOrFleetM,MeshSizeInDiamondPanelMm,MeshSizeInSqualreMeshPanelMm,MeshSizeMm,MeshesDeepInnerOnlyNet,MeshesDeepOuterNet,NetOpeningM,NumberOfDredgesPerBeam,NumberOfHooksInString,NumberOfLines,NumberOfNetsInTier,NumberOfPotsInString,NumberOfPotsSampled,NumberOfTeethOnSingleDredge,NumberOfTicklerChains,OuterMeshSizeMm,OuterTwineDiameterMm,RingDiameterMm,SelectivityDeviceId,SpreadBetweenVesselEstimateM,SweepLengthM,TicklerCountId,TotalNumberOfDredgesUsed,VeilMeshSizeMm,WarpDensityKgPerM,WarpDiameterMm,WarpLengthM,WidthOfIndividualDredgeM,WingSpreadM,CHECK
AE323NT,1,22,Nephrops Otter Trawl,10/02/2023,06:00:00,42,55,22,-1,-30,10/02/2023,1,11:00:00,42,55,17,-1,-27,IVb,39E8,300,0,NULL,NULL,NULL,90,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
AE323NT,2,22,Nephrops Otter Trawl,10/02/2023,11:30:00,42,55,17,-1,-27,10/02/2023,1,15:00:00,42,55,22,-1,-30,IVb,39E8,210,0,NULL,NULL,NULL,90,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,160,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
AX323HL,1,13,Hand Lines,25/10/2023,08:00:00,23,50,38,-3,-4,25/10/2023,4,15:00:00,23,50,38,-3,-4,VIIe,30E6,420,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1023NT,1,22,Nephrops Otter Trawl,06/09/2023,02:20:00,37.7,55,9,-1,-26,06/09/2023,3,06:00:00,43.3,55,12,-1,-27,IVb,39E8,220,0,NULL,NULL,NULL,95,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55.4,NULL,NULL,160,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1123NT,1,22,Nephrops Otter Trawl,27/09/2023,05:00:00,33,55,9,-1,-26,27/09/2023,3,08:00:00,33,55,15,-1,-30,IVb,39E8,180,0,NULL,NULL,NULL,95,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,160,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1123NT,2,22,Nephrops Otter Trawl,27/09/2023,08:30:00,33,55,10,-1,-25,27/09/2023,3,11:30:00,33,55,16,-1,-28,IVb,39E8,180,0,NULL,NULL,NULL,95,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,160,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1223NT,1,22,Nephrops Otter Trawl,09/11/2023,06:20:00,53,55,8,-1,-17,09/11/2023,4,10:20:00,53,55,17,-1,-13,IVb,39E8,240,0,NULL,NULL,NULL,95,8,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,200,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1223NT,2,22,Nephrops Otter Trawl,09/11/2023,10:40:00,53,55,17,-1,-13,09/11/2023,4,14:40:00,53,55,8,-1,-15,IVb,39E8,240,0,NULL,NULL,NULL,95,8,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,200,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1323NT,1,22,Nephrops Otter Trawl,10/11/2023,06:20:00,53,55,8,-1,-17,10/11/2023,4,10:40:00,53,56,13,-1,-16,IVb,39E8,260,0,NULL,NULL,NULL,95,8,4,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,200,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
BH1323NT,2,22,Nephrops Otter Trawl,10/11/2023,11:30:00,40,55,12,-1,-14,10/11/2023,4,14:20:00,53,55,5,-1,-13,IVb,39E8,170,0,NULL,NULL,NULL,95,8,4,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,200,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
