,TRIP.CODE,HAUL.CODE,YEAR,Gear.Class,MESH.SIZE.RANGE,TargetAssemblage,metier5,metier6,CHECK
1,NN423BT,7,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
12,NN423BT,8,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
45,WN223NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
67,WN223NT,3,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
111,MY123GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
182,MY123GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
244,MY123GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
293,MY123GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
332,MY123GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
470,WN123NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
480,WB223GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
534,WB223GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
614,WB223GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
621,HD123GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
643,HD123GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
653,HD123GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
663,HD123GN,6,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
675,HD123GN,7,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
679,HD123GN,1,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
727,HD123GN,2,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
805,WB223GN,6,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
869,WB223GN,7,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
908,WB223GN,8,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
957,WB223GN,9,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
1009,NN323BT,2,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
1027,NN323BT,4,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
1108,NN323BT,5,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
1174,NN323BT,1,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
1282,NN323BT,3,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
1438,WN123NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
1471,WB223GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
1497,WB223GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
1534,NN423BT,4,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
1570,NN423BT,2,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
1613,WB223OT,3,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
1614,WB223OT,2,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
1619,WB223OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
1924,WB123OT,3,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
1927,WB123OT,2,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
2013,NN423BT,3,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
2085,NN423BT,5,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
2118,NN423BT,6,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
2263,NN623BT,7,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
2269,NN623BT,1,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
2316,WB123OT,4,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
2379,WB123OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
2513,WA723OT,4,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
